"Abschied der Gladiatoren","Blankenburg","9",112
"Adagio Religioso","Sander","4",154
"Adlerflug","Blankenburg","8",3
"Admiral der Luft","Blankenburg","8",4
"Admiral Stosch","Latan","9",121
"Alle Tage ist kein Sonntag","Clewig","7b",222
"Allen voraus","Engel","9",96
"Alte Kameraden","Teike","8",1
"Amboß Polka","Weinkopf","15",36
"American Patrol","Meachain","4c",136
"Amina","Linde","7b",223
"Amsel Polka","Bummerl","15",29
"An der schönen blauen Donau","Strauß","6",201
"An der Weser","Pressel","7",271
"Andrew Lloyd Webber Portrait","Trevers","15",17
"Anker gelichtet","Miles","8",2
"Anny get your gun","Bummerl","7b",221
"Arietta für Solo-Trompete","Bichsel","10",135
"Armeemarsch Nr. 7 + 9","???","9",108
"Arsenal","Rost","15",20
"Artistenshow","Löffler","5",204
"Auf der Heide blühen Rosen","???","10",108
"Auf der Wacht","Trirecht","10",109
"Auf Landurlaub","Kahlenbach","9",126
"Auf Schusters Rappen","Haase/Altendorf","5",178
"Badinage for Brasses","Walter","4c",163
"Badonviller Marsch","Fürst","8",8
"Bahn Frei","???","8",6
"Balkanfieber","Majo","4a",146
"Ballsirenen","Scharr","6",202
"Bamba Tropical","Gistel","7b",258
"Bandener Madel","Komzak","6",204
"Banditenstreiche","Suppé","5",179
"Bandolero","Osser","7b",255
"Barataria Marsch","???","8",8
"Batak","Schröer","7b",259
"Bayrische G`schichten","Richartz","6",203
"Bayrische Polka","Lohmann","10",112
"Bayrischer Defiliermarsch","Scherzer","8",5
"Beim Holderstrauch","Herrmann","7b",224
"Bellamare +  Treffpunkt","Lange","9",105
"Bergknappenmarsch","Klesen","16",11
"Besuch bei Lortzing","Löffler","10b",127
"Besuch bei Offenbach","Löffler","10b",127
"Blume von Hawaii","Abraham","11",90
"Boccaciomarsch","Suppé","8",7
"Bomben und Granaten","???","8",5
"Brasil Tropical","Häuser","15",2
"Brasilian Bay Dance","Evers","15",22
"Brazil","Bororro","10b",161
"Bugler's Holiday","Anderson","10",111
"Camille","Waignein","15",33
"Carmen","Bizet","5",206
"Carmen-Marsch","???","8",12
"Castaldo-Marsch","Novacek","9",118
"Choral and Beat for Band","Kahlenbach","7b",261
"The Power of Love","Rouge","16",5
"Ciribiribin","Weinkopf","15",1
"Colonel Bogey","Alford","8",11
"Concert Variations","Smith","4c",174
"Concordia","Haase/Altendorf","4",161
"Concordia","Husadel","8",10
"Crailsheimer Festmarsch","Jiskra","9",115
"Czardasfürstin","Kalman","11",91
"Daheim ist daheim","???","15",4
"Dankeschön, Bert Kämpfert","Kolditz","11",120
"Das gefällt immer","Lehacht","11",92
"Das macht Laune","Brager","11",93
